date,time,tempC,windspeedKmph,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,city
2016-01-01,0,-2,4,Clear,0.0,76,10,1027,12,florence
2016-01-01,3,-3,5,Clear,0.0,75,10,1026,11,florence
2016-01-01,6,-4,5,Sunny,0.0,77,10,1026,17,florence
2016-01-01,9,8,4,Sunny,0.0,54,10,1027,2,florence
2016-01-01,12,12,3,Sunny,0.0,43,10,1026,2,florence
2016-01-01,15,8,3,Sunny,0.0,62,10,1026,5,florence
2016-01-01,18,2,4,Clear,0.0,81,10,1025,6,florence
2016-01-01,21,1,5,Clear,0.0,74,10,1025,8,florence
2016-01-02,0,-2,5,Cloudy,0.0,79,10,1023,83,florence
2016-01-02,6,0,6,Rain,2.4,92,9,1020,100,florence
2016-01-02,9,6,7,Rain,4.5,94,7,1019,100,florence
2016-01-02,12,7,5,Rain,8.5,95,5,1017,100,florence
2016-01-02,15,8,4,Rain,4.0,97,7,1015,100,florence
2016-01-02,18,4,11,Rain,6.3,98,7,1013,100,florence
2016-01-02,21,4,7,Rain,2.5,96,10,1011,93,florence
2016-01-03,0,3,8,Rain,3.8,96,7,1009,75,florence
2016-01-03,6,1,10,Rain,0.8,90,9,1008,100,florence
2016-01-03,9,6,11,Cloudy,0.1,83,10,1009,45,florence
2016-01-03,12,8,10,Sunny,0.1,74,10,1010,22,florence
2016-01-03,15,8,6,Cloudy,0.0,81,10,1009,27,florence
2016-01-03,18,1,4,Cloudy,0.0,89,10,1009,33,florence
2016-01-04,6,1,7,Cloudy,0.0,86,6,1019,45,florence
2016-01-04,9,4,9,Rain,0.5,80,9,1018,72,florence
2016-01-04,12,6,9,Cloudy,0.0,76,10,1018,47,florence
2016-01-04,15,5,10,Rain,0.4,86,8,1016,51,florence
2016-01-04,18,3,11,Cloudy,0.0,88,7,1016,53,florence
2016-01-04,21,3,12,Rain,0.4,88,9,1016,74,florence
2016-01-05,0,3,12,Rain,0.3,89,9,1013,78,florence
2016-01-05,3,4,12,Rain,0.2,92,9,1009,86,florence
2016-01-05,9,8,11,Rain,4.2,96,7,1000,99,florence
2016-01-05,12,10,13,Rain,4.8,84,7,1000,100,florence
2016-01-06,0,4,3,Rain,0.5,96,10,1001,79,florence
2016-01-06,3,3,6,Rain,4.0,99,7,1000,100,florence
2016-01-06,6,1,7,Rain,9.3,98,5,999,100,florence
2016-01-06,9,7,6,Rain,4.8,94,7,999,100,florence
2016-01-06,12,8,4,Rain,6.5,86,7,999,100,florence
2016-01-06,15,8,4,Cloudy,0.0,85,10,999,45,florence
2016-01-06,18,4,2,Clear,0.1,93,10,1000,14,florence
2016-01-06,21,1,4,Clear,0.0,93,10,1001,15,florence
2016-01-07,0,0,2,Clear,0.0,94,10,1002,24,florence
2016-01-07,3,1,4,Clear,0.0,91,10,1003,6,florence
2016-01-07,6,1,6,Sunny,0.0,92,10,1005,13,florence
2016-01-07,9,7,8,Sunny,0.0,86,10,1005,24,florence
2016-01-07,15,7,11,Rain,1.6,95,9,1004,100,florence
2016-01-07,18,2,11,Rain,3.2,96,7,1004,100,florence
2016-01-08,9,11,10,Rain,1.1,95,9,1009,60,florence
2016-01-08,12,13,10,Rain,1.1,84,9,1009,76,florence
2016-01-09,18,6,17,Rain,1.0,95,9,1005,100,florence
2016-01-09,21,6,19,Rain,0.7,97,10,1005,98,florence
2016-01-10,0,6,21,Rain,1.7,97,10,1004,100,florence
2016-01-10,3,5,16,Rain,0.8,96,10,1004,73,florence
2016-01-10,6,5,14,Rain,0.8,97,10,1004,89,florence
2016-01-10,9,12,20,Cloudy,0.1,94,10,1005,84,florence
2016-01-10,15,13,26,Cloudy,0.0,80,10,1005,41,florence
2016-01-10,18,9,27,Clear,0.0,87,10,1005,24,florence
2016-01-10,21,7,21,Clear,0.0,91,10,1006,13,florence
2016-01-11,0,7,20,Cloudy,0.0,96,10,1006,48,florence
2016-01-11,3,9,23,Cloudy,0.1,95,10,1004,64,florence
2016-01-11,6,9,26,Cloudy,0.1,95,10,1003,61,florence
2016-01-11,9,12,44,Cloudy,0.1,93,10,1001,67,florence
2016-01-11,18,5,46,Rain,0.8,77,9,998,6,florence
2016-01-11,21,9,36,Rain,0.4,78,10,999,8,florence
2016-01-12,0,8,26,Clear,0.0,80,10,1000,10,florence
2016-01-12,3,8,30,Clear,0.0,77,10,1001,3,florence
2016-01-12,6,5,29,Sunny,0.0,77,10,1002,3,florence
2016-01-12,9,11,32,Sunny,0.0,68,10,1003,0,florence
2016-01-12,12,13,25,Sunny,0.0,57,10,1004,0,florence
2016-01-12,15,11,22,Sunny,0.0,67,10,1005,0,florence
2016-01-12,18,3,18,Clear,0.0,81,10,1006,4,florence
2016-01-12,21,5,18,Clear,0.1,81,10,1007,12,florence
2016-01-13,0,4,16,Cloudy,0.1,83,10,1007,76,florence
2016-01-13,3,4,13,Rain,1.1,85,9,1008,5,florence
2016-01-13,6,4,8,Sunny,1.1,79,10,1010,0,florence
2016-01-13,9,12,5,Sunny,0.0,56,10,1012,0,florence
2016-01-13,12,12,11,Sunny,0.0,35,10,1014,0,florence
2016-01-13,15,12,9,Sunny,0.0,50,10,1016,1,florence
2016-01-13,18,0,9,Clear,0.0,61,10,1017,6,florence
2016-01-13,21,-1,9,Clear,0.0,65,10,1017,9,florence
2016-01-14,0,-2,12,Clear,0.0,80,10,1018,21,florence
2016-01-14,3,-2,12,Clear,0.0,79,10,1018,21,florence
