date,time,tempC,windspeedKmph,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,city
2016-01-01,0,2,5,Cloudy,0.0,89,10,1027,49,milan
2016-01-01,3,1,2,Clear,0.0,91,10,1026,17,milan
2016-01-01,6,1,1,Sunny,0.0,91,10,1027,16,milan
2016-01-01,9,3,2,Sunny,0.0,71,10,1026,12,milan
2016-01-01,12,6,5,Sunny,0.0,63,10,1025,12,milan
2016-01-01,15,5,2,Sunny,0.0,72,10,1024,10,milan
2016-01-01,18,2,3,Clear,0.0,79,10,1024,14,milan
2016-01-01,21,2,5,Clear,0.0,78,10,1024,20,milan
2016-01-02,0,1,6,Cloudy,0.0,78,10,1023,46,milan
2016-01-02,12,2,6,Rain,2.1,86,9,1017,100,milan
2016-01-02,15,1,6,Rain,1.6,95,9,1015,100,milan
2016-01-02,18,2,5,Rain,1.9,96,9,1014,100,milan
2016-01-02,21,1,1,Rain,2.3,99,9,1013,100,milan
2016-01-03,0,1,5,Rain,4.3,98,7,1012,100,milan
2016-01-03,3,1,6,Rain,1.2,96,9,1011,95,milan
2016-01-03,12,3,10,Cloudy,0.0,89,10,1010,57,milan
2016-01-03,15,3,11,Cloudy,0.0,91,10,1009,69,milan
2016-01-03,18,2,9,Cloudy,0.0,92,10,1008,39,milan
2016-01-03,21,2,10,Cloudy,0.0,91,10,1007,59,milan
2016-01-04,6,1,6,Cloudy,0.0,80,9,1020,36,milan
2016-01-04,9,3,7,Rain,0.5,75,10,1020,81,milan
2016-01-04,12,5,7,Cloudy,0.0,69,8,1019,40,milan
2016-01-04,15,4,8,Rain,1.0,77,9,1017,87,milan
2016-01-04,18,2,6,Cloudy,0.0,82,8,1018,27,milan
2016-01-04,21,2,9,Rain,0.1,78,8,1019,75,milan
2016-01-05,0,2,9,Rain,0.1,81,9,1015,66,milan
2016-01-05,3,1,9,Rain,0.1,85,9,1010,52,milan
2016-01-05,6,0,9,Sunny,0.0,93,10,999,23,milan
2016-01-05,9,1,10,Cloudy,0.0,90,10,1001,44,milan
2016-01-05,12,4,3,Cloudy,0.0,77,10,1000,33,milan
2016-01-05,15,4,1,Cloudy,0.0,80,10,1001,35,milan
2016-01-05,18,1,4,Cloudy,0.0,92,10,1002,27,milan
