date,time,tempC,windspeedKmph,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,city
2016-01-01,0,7,14,Cloudy,0.0,73,10,1026,44,naples
2016-01-01,18,8,9,Cloudy,0.0,70,10,1025,80,naples
2016-01-01,21,8,9,Cloudy,0.0,71,10,1025,42,naples
2016-01-02,0,7,9,Cloudy,0.0,72,10,1024,58,naples
2016-01-02,15,12,13,Rain,1.7,91,9,1018,100,naples
2016-01-02,18,13,17,Rain,1.2,91,10,1016,77,naples
2016-01-02,21,13,20,Rain,1.7,89,10,1014,50,naples
2016-01-03,0,13,15,Cloudy,0.0,88,10,1011,59,naples
2016-01-03,3,13,17,Rain,3.1,87,7,1008,54,naples
2016-01-03,6,12,23,Rain,4.3,84,7,1008,47,naples
2016-01-03,9,14,28,Rain,0.4,76,9,1007,27,naples
2016-01-03,12,15,23,Rain,0.7,65,9,1008,21,naples
2016-01-03,15,14,24,Sunny,0.1,71,10,1008,10,naples
2016-01-03,18,11,18,Clear,0.1,76,10,1009,16,naples
2016-01-03,21,11,19,Clear,0.0,76,10,1009,17,naples
2016-01-04,0,11,16,Cloudy,0.0,78,10,1008,59,naples
2016-01-04,3,11,11,Cloudy,0.0,83,10,1004,67,naples
2016-01-04,6,8,11,Cloudy,0.0,83,10,1019,44,naples
2016-01-04,9,10,13,Rain,0.1,76,10,1019,72,naples
2016-01-04,12,12,11,Cloudy,0.0,71,10,1018,41,naples
2016-01-04,15,12,13,Rain,0.4,76,10,1016,81,naples
2016-01-04,18,10,14,Cloudy,0.0,79,10,1017,51,naples
2016-01-04,21,10,14,Rain,0.5,80,10,1016,76,naples
2016-01-05,0,10,12,Rain,0.4,82,10,1014,76,naples
2016-01-05,3,11,10,Rain,0.3,84,10,1009,76,naples
2016-01-05,6,12,5,Cloudy,0.0,88,10,1000,75,naples
2016-01-05,9,13,12,Rain,1.8,90,9,1000,100,naples
2016-01-05,12,14,9,Rain,2.1,89,9,1000,91,naples
2016-01-05,15,15,20,Rain,0.7,90,10,1000,99,naples
2016-01-05,18,13,17,Rain,1.1,90,10,1001,87,naples
2016-01-05,21,13,15,Cloudy,0.1,88,10,1002,49,naples
2016-01-06,0,12,8,Rain,0.3,88,10,1002,58,naples
2016-01-06,3,13,6,Cloudy,0.0,86,10,1002,82,naples
2016-01-06,6,12,17,Rain,1.7,87,10,1001,65,naples
2016-01-06,9,15,23,Rain,3.0,78,7,1000,52,naples
2016-01-06,12,14,36,Rain,6.0,74,7,999,40,naples
2016-01-06,15,12,31,Rain,1.2,71,9,1000,23,naples
2016-01-06,18,10,21,Rain,1.6,73,9,1001,14,naples
2016-01-06,21,9,15,Rain,0.3,79,10,1002,67,naples
2016-01-07,0,9,11,Rain,1.9,80,9,1002,22,naples
2016-01-07,3,8,10,Rain,0.3,77,9,1003,17,naples
2016-01-07,6,8,9,Sunny,0.3,78,10,1005,4,naples
2016-01-07,9,11,10,Sunny,0.0,68,10,1007,11,naples
2016-01-07,12,13,10,Sunny,0.0,61,10,1007,16,naples
2016-01-07,15,12,14,Cloudy,0.0,66,10,1008,29,naples
2016-01-07,21,11,6,Rain,1.8,87,9,1008,100,naples
2016-01-08,0,12,6,Rain,2.0,87,9,1008,84,naples
2016-01-08,3,11,6,Cloudy,0.0,89,10,1009,73,naples
2016-01-08,6,11,4,Cloudy,0.0,89,10,1011,53,naples
2016-01-08,9,15,5,Cloudy,0.0,82,10,1012,51,naples
2016-01-08,12,17,10,Cloudy,0.0,79,10,1012,45,naples
2016-01-08,15,16,10,Rain,0.2,86,10,1012,51,naples
2016-01-08,18,14,8,Rain,0.2,92,9,1013,28,naples
2016-01-08,21,13,10,Cloudy,0.0,93,10,1013,33,naples
2016-01-09,3,13,9,Rain,0.4,94,9,1012,44,naples
