date,time,tempC,windspeedKmph,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,city
2016-01-01,0,7,4,Clear,0.0,86,10,1026,16,palermo
2016-01-01,3,7,5,Clear,0.0,83,10,1025,14,palermo
2016-01-01,6,8,5,Cloudy,0.0,79,10,1025,53,palermo
2016-01-01,12,14,3,Cloudy,0.0,63,10,1026,82,palermo
2016-01-01,15,13,4,Cloudy,0.0,68,10,1025,53,palermo
2016-01-01,18,7,6,Cloudy,0.0,85,10,1025,46,palermo
2016-01-01,21,7,9,Cloudy,0.0,85,10,1024,33,palermo
2016-01-02,0,10,9,Cloudy,0.0,84,10,1023,51,palermo
2016-01-02,3,10,9,Cloudy,0.0,82,10,1023,45,palermo
2016-01-02,6,10,10,Cloudy,0.0,82,10,1023,28,palermo
2016-01-02,9,15,10,Cloudy,0.0,73,10,1022,26,palermo
2016-01-02,12,17,13,Cloudy,0.0,64,10,1021,26,palermo
2016-01-02,15,16,12,Sunny,0.0,69,10,1019,13,palermo
2016-01-02,18,12,17,Clear,0.0,85,10,1019,11,palermo
2016-01-02,21,11,18,Clear,0.0,87,10,1018,10,palermo
2016-01-03,0,13,19,Clear,0.0,85,10,1016,17,palermo
2016-01-03,3,13,19,Rain,3.7,89,8,1014,47,palermo
2016-01-03,6,13,23,Rain,5.9,87,8,1014,61,palermo
2016-01-03,9,14,31,Sunny,0.1,72,10,1014,21,palermo
2016-01-03,12,14,36,Cloudy,0.0,62,10,1014,27,palermo
2016-01-03,15,13,30,Cloudy,0.0,66,10,1012,42,palermo
2016-01-03,21,11,17,Cloudy,0.1,79,10,1012,46,palermo
2016-01-04,0,11,13,Cloudy,0.0,85,10,1011,73,palermo
2016-01-04,3,12,18,Cloudy,0.0,88,10,1007,57,palermo
2016-01-04,6,9,13,Cloudy,0.0,86,10,1019,46,palermo
2016-01-04,9,12,15,Rain,0.0,78,10,1019,78,palermo
2016-01-04,12,13,19,Cloudy,0.0,74,10,1019,44,palermo
2016-01-04,15,12,17,Rain,0.2,79,9,1017,60,palermo
2016-01-04,18,11,16,Cloudy,0.0,84,10,1018,63,palermo
2016-01-04,21,11,15,Rain,0.2,83,9,1017,54,palermo
2016-01-05,0,11,16,Rain,0.2,85,10,1015,52,palermo
2016-01-05,3,12,18,Rain,0.1,87,10,1011,48,palermo
2016-01-05,6,13,20,Cloudy,0.0,91,10,1004,41,palermo
2016-01-05,9,17,22,Cloudy,0.0,82,10,1005,47,palermo
2016-01-05,12,16,14,Cloudy,0.0,83,10,1005,50,palermo
2016-01-05,15,16,17,Cloudy,0.0,80,10,1005,34,palermo
2016-01-05,18,12,14,Cloudy,0.0,90,10,1006,33,palermo
2016-01-05,21,11,18,Clear,0.0,89,10,1006,23,palermo
2016-01-06,0,14,19,Cloudy,0.0,89,10,1005,41,palermo
2016-01-06,6,14,9,Rain,3.2,90,7,1005,100,palermo
2016-01-06,9,14,15,Rain,1.6,85,9,1005,84,palermo
2016-01-06,12,14,23,Cloudy,0.0,71,10,1005,65,palermo
2016-01-06,15,12,28,Rain,1.4,71,9,1005,18,palermo
2016-01-06,18,9,23,Cloudy,0.0,76,10,1006,44,palermo
2016-01-06,21,9,28,Rain,0.3,76,9,1006,25,palermo
2016-01-07,0,12,36,Rain,0.7,78,9,1007,44,palermo
2016-01-07,3,12,42,Rain,0.5,74,9,1007,46,palermo
2016-01-07,6,12,28,Rain,0.7,78,10,1009,74,palermo
2016-01-07,9,14,37,Rain,0.4,73,10,1010,78,palermo
2016-01-07,12,14,35,Cloudy,0.0,65,10,1010,41,palermo
2016-01-07,15,13,27,Cloudy,0.1,71,10,1011,64,palermo
2016-01-07,21,11,20,Cloudy,0.1,89,10,1012,57,palermo
2016-01-08,0,14,17,Cloudy,0.0,89,10,1013,62,palermo
2016-01-08,3,14,17,Cloudy,0.0,90,10,1012,31,palermo
2016-01-08,6,14,14,Sunny,0.0,91,10,1014,15,palermo
2016-01-08,9,17,15,Sunny,0.0,77,10,1015,3,palermo
2016-01-08,12,18,15,Sunny,0.0,67,10,1015,6,palermo
2016-01-08,15,16,19,Sunny,0.0,76,10,1015,4,palermo
2016-01-08,18,12,16,Clear,0.0,89,10,1016,0,palermo
2016-01-08,21,11,15,Clear,0.0,80,10,1016,5,palermo
2016-01-09,0,13,17,Cloudy,0.0,70,10,1016,32,palermo
2016-01-09,6,14,15,Sunny,0.0,65,10,1015,7,palermo
2016-01-09,9,17,15,Cloudy,0.0,58,10,1015,29,palermo
2016-01-09,12,19,11,Cloudy,0.0,54,10,1015,54,palermo
2016-01-09,15,19,9,Cloudy,0.0,58,10,1013,71,palermo
2016-01-10,0,15,19,Cloudy,0.0,65,10,1014,76,palermo
2016-01-10,3,15,18,Cloudy,0.0,63,10,1014,27,palermo
2016-01-10,6,14,17,Sunny,0.0,63,10,1014,18,palermo
2016-01-10,9,18,19,Sunny,0.0,65,10,1015,5,palermo
2016-01-10,12,18,25,Sunny,0.0,60,10,1015,10,palermo
2016-01-10,15,17,17,Sunny,0.0,64,10,1015,17,palermo
2016-01-10,18,12,12,Cloudy,0.0,88,10,1017,25,palermo
2016-01-10,21,11,15,Clear,0.0,88,10,1018,7,palermo
2016-01-11,0,13,15,Cloudy,0.0,87,10,1018,29,palermo
2016-01-11,3,13,18,Clear,0.0,83,10,1017,11,palermo
2016-01-11,6,13,18,Sunny,0.0,81,10,1017,17,palermo
2016-01-11,9,17,21,Sunny,0.0,65,10,1017,6,palermo
2016-01-11,12,20,21,Cloudy,0.0,50,10,1016,26,palermo
2016-01-11,15,18,16,Sunny,0.0,52,10,1014,11,palermo
2016-01-11,18,12,19,Clear,0.0,69,10,1015,17,palermo
2016-01-11,21,12,18,Clear,0.0,80,10,1015,38,palermo
2016-01-12,0,12,17,Cloudy,0.0,91,10,1014,59,palermo
2016-01-12,3,14,16,Cloudy,0.0,91,10,1014,57,palermo
2016-01-12,6,14,15,Cloudy,0.0,90,10,1015,81,palermo
2016-01-12,9,17,19,Sunny,0.0,74,10,1015,19,palermo
2016-01-12,12,17,32,Cloudy,0.0,62,10,1015,44,palermo
2016-01-12,15,14,28,Sunny,0.0,61,10,1015,3,palermo
2016-01-12,18,11,18,Clear,0.0,75,10,1016,4,palermo
2016-01-12,21,10,27,Clear,0.0,73,10,1017,5,palermo
2016-01-13,0,13,26,Cloudy,0.0,72,10,1018,36,palermo
2016-01-13,3,12,22,Clear,0.0,75,10,1018,22,palermo
2016-01-13,6,11,18,Sunny,0.0,76,10,1019,8,palermo
2016-01-13,9,15,30,Sunny,0.0,57,10,1021,11,palermo
2016-01-13,12,14,35,Sunny,0.0,54,10,1022,3,palermo
2016-01-13,15,12,28,Sunny,0.0,55,10,1022,9,palermo
2016-01-13,18,9,15,Clear,0.0,64,10,1022,10,palermo
2016-01-13,21,8,14,Clear,0.0,67,10,1023,10,palermo
2016-01-14,0,9,10,Clear,0.0,73,10,1024,11,palermo
2016-01-14,3,7,6,Clear,0.0,75,10,1024,18,palermo
2016-01-14,9,13,8,Cloudy,0.0,48,10,1024,81,palermo
2016-01-14,12,15,11,Sunny,0.0,41,10,1022,3,palermo
2016-01-14,15,14,12,Sunny,0.0,53,10,1020,4,palermo
2016-01-14,18,9,15,Clear,0.0,76,10,1019,3,palermo
2016-01-14,21,9,18,Clear,0.0,84,10,1019,3,palermo
2016-01-15,0,12,21,Cloudy,0.0,87,10,1017,33,palermo
2016-01-15,3,12,23,Clear,0.0,87,10,1015,22,palermo
2016-01-15,6,12,21,Sunny,0.0,88,10,1015,9,palermo
2016-01-15,9,15,18,Cloudy,0.1,81,10,1015,78,palermo
2016-01-15,12,13,14,Cloudy,0.0,77,10,1014,74,palermo
2016-01-15,15,11,13,Rain,0.8,83,9,1013,100,palermo
2016-01-16,3,10,13,Rain,1.7,85,9,1008,100,palermo
2016-01-16,6,10,26,Rain,3.5,77,7,1007,100,palermo
2016-01-16,12,9,31,Cloudy,0.0,61,10,1006,33,palermo
2016-01-16,15,7,34,Cloudy,0.1,57,10,1004,39,palermo
2016-01-16,21,4,15,Rain,1.4,79,10,1003,100,palermo
2016-01-17,0,7,23,Rain,4.4,81,7,1004,98,palermo
2016-01-17,3,8,37,Rain,5.0,83,7,1005,100,palermo
2016-01-17,6,7,36,Rain,7.8,78,3,1008,100,palermo
2016-01-17,9,8,41,Rain,1.4,66,10,1010,60,palermo
2016-01-17,12,7,44,Rain,0.4,65,9,1012,23,palermo
2016-01-17,15,6,43,Rain,1.0,55,9,1012,9,palermo
2016-01-17,18,4,42,Rain,2.5,60,7,1013,48,palermo
2016-01-17,21,4,36,Rain,1.2,60,10,1014,44,palermo
2016-01-18,0,6,32,Rain,1.6,60,10,1015,45,palermo
2016-01-18,3,6,39,Clear,0.1,52,10,1015,11,palermo
2016-01-18,6,6,42,Sunny,0.0,55,10,1017,19,palermo
2016-01-18,9,9,36,Sunny,0.0,42,10,1018,9,palermo
2016-01-18,12,9,33,Sunny,0.0,42,10,1018,24,palermo
2016-01-18,15,8,23,Cloudy,0.0,45,10,1018,31,palermo
2016-01-18,18,3,8,Clear,0.0,61,10,1018,19,palermo
2016-01-18,21,4,6,Clear,0.0,62,10,1018,24,palermo
2016-01-19,0,8,14,Cloudy,0.0,55,10,1017,68,palermo
2016-01-19,3,8,17,Cloudy,0.0,58,10,1015,69,palermo
2016-01-19,9,9,18,Rain,1.7,79,9,1012,100,palermo
2016-01-19,12,11,23,Cloudy,0.0,79,10,1011,79,palermo
2016-01-19,15,11,18,Rain,1.1,79,10,1010,39,palermo
2016-01-19,18,9,11,Cloudy,0.0,86,10,1010,68,palermo
2016-01-19,21,9,19,Rain,0.8,90,10,1012,94,palermo
2016-01-20,3,9,17,Rain,0.4,79,9,1016,43,palermo
2016-01-20,6,6,13,Rain,0.4,77,9,1018,33,palermo
2016-01-20,9,10,9,Cloudy,0.0,60,10,1019,40,palermo
2016-01-20,12,10,9,Cloudy,0.0,54,10,1019,54,palermo
2016-01-20,15,10,8,Cloudy,0.0,59,10,1019,36,palermo
2016-01-20,18,5,4,Clear,0.0,81,10,1020,11,palermo
2016-01-20,21,5,4,Clear,0.0,81,10,1020,9,palermo
2016-01-21,0,6,4,Clear,0.0,80,10,1020,12,palermo
2016-01-21,3,6,8,Cloudy,0.0,78,10,1020,26,palermo
2016-01-21,6,6,8,Sunny,0.0,78,10,1020,10,palermo
2016-01-21,9,12,8,Sunny,0.0,59,10,1021,6,palermo
2016-01-21,12,13,3,Sunny,0.0,53,10,1020,18,palermo
2016-01-21,15,12,6,Sunny,0.0,60,10,1020,24,palermo
2016-01-21,18,6,1,Cloudy,0.0,81,10,1022,59,palermo
2016-01-21,21,5,3,Cloudy,0.0,83,10,1022,67,palermo
2016-01-22,0,7,2,Cloudy,0.0,85,10,1023,66,palermo
2016-01-22,3,6,2,Cloudy,0.1,86,10,1024,35,palermo
2016-01-22,6,6,5,Sunny,0.0,88,10,1025,13,palermo
2016-01-22,9,13,7,Sunny,0.0,70,10,1026,19,palermo
2016-01-22,12,13,11,Cloudy,0.0,64,10,1027,28,palermo
2016-01-22,15,12,11,Cloudy,0.0,70,10,1028,33,palermo
2016-01-22,18,7,9,Cloudy,0.0,87,10,1029,40,palermo
2016-01-22,21,6,6,Cloudy,0.0,87,10,1030,45,palermo
2016-01-23,0,6,3,Clear,0.0,85,10,1030,24,palermo
2016-01-23,3,5,5,Clear,0.0,82,10,1031,0,palermo
2016-01-23,6,5,5,Sunny,0.0,79,10,1031,5,palermo
2016-01-23,9,11,8,Sunny,0.0,57,10,1032,4,palermo
2016-01-23,12,10,5,Sunny,0.0,56,10,1032,24,palermo
2016-01-23,15,9,8,Sunny,0.0,59,10,1031,5,palermo
2016-01-23,18,3,5,Clear,0.0,80,10,1031,4,palermo
2016-01-23,21,3,5,Clear,0.0,81,10,1031,8,palermo
