date,time,tempC,windspeedKmph,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,city
2016-01-01,3,10,12,Rain,0.2,85,10,1025,100,rome
2016-01-01,9,11,10,Cloudy,0.0,76,10,1026,51,rome
2016-01-01,12,13,9,Cloudy,0.0,67,10,1025,44,rome
2016-01-01,15,12,7,Cloudy,0.0,74,10,1025,58,rome
2016-01-01,18,10,9,Cloudy,0.0,83,10,1025,42,rome
2016-01-01,21,8,8,Cloudy,0.0,85,10,1024,26,rome
2016-01-02,0,8,12,Cloudy,0.0,84,10,1023,67,rome
2016-01-02,12,11,22,Rain,1.6,84,9,1017,100,rome
2016-01-02,18,11,22,Rain,1.1,91,9,1013,98,rome
2016-01-02,21,12,22,Rain,0.9,91,6,1012,100,rome
2016-01-03,0,12,16,Rain,3.3,91,7,1009,84,rome
2016-01-03,3,12,18,Rain,3.9,87,7,1008,38,rome
2016-01-03,6,9,7,Rain,5.7,86,7,1007,26,rome
2016-01-03,9,12,13,Rain,0.4,68,9,1008,28,rome
2016-01-03,12,13,20,Rain,0.8,67,10,1008,39,rome
2016-01-03,15,13,21,Rain,0.2,69,10,1008,61,rome
2016-01-03,18,9,7,Clear,0.1,80,10,1008,13,rome
2016-01-03,21,9,5,Cloudy,0.0,75,10,1008,33,rome
2016-01-04,0,9,15,Cloudy,0.0,71,10,1007,76,rome
2016-01-04,3,10,10,Cloudy,0.0,79,10,1003,88,rome
2016-01-04,6,7,12,Cloudy,0.0,80,10,1019,36,rome
2016-01-04,9,9,12,Rain,0.2,72,10,1018,77,rome
2016-01-04,12,12,14,Cloudy,0.0,69,10,1018,38,rome
2016-01-04,15,11,14,Rain,0.2,77,10,1016,79,rome
2016-01-04,18,9,13,Cloudy,0.0,81,10,1016,41,rome
2016-01-04,21,8,14,Rain,0.2,81,10,1016,82,rome
2016-01-05,0,9,14,Rain,0.1,82,10,1013,85,rome
2016-01-05,3,10,13,Rain,0.1,83,10,1009,90,rome
2016-01-05,9,12,10,Rain,1.2,86,9,999,98,rome
2016-01-05,12,12,10,Rain,1.8,88,9,999,100,rome
2016-01-05,18,11,5,Cloudy,0.0,85,10,1001,64,rome
2016-01-05,21,10,6,Clear,0.0,87,10,1002,24,rome
2016-01-06,0,10,6,Cloudy,0.0,86,10,1001,32,rome
2016-01-06,3,11,13,Rain,0.3,85,9,1001,38,rome
2016-01-06,6,10,11,Rain,4.0,86,7,1000,65,rome
2016-01-06,9,13,27,Rain,4.1,77,7,999,21,rome
2016-01-06,12,13,28,Rain,5.5,68,7,999,16,rome
2016-01-06,15,11,23,Rain,0.4,72,9,1000,31,rome
2016-01-06,18,9,5,Rain,1.7,78,9,1002,32,rome
2016-01-06,21,9,5,Cloudy,0.0,81,10,1002,44,rome
2016-01-07,0,8,4,Clear,0.0,83,10,1002,21,rome
2016-01-07,3,7,13,Clear,0.0,83,10,1004,20,rome
2016-01-07,6,7,11,Sunny,0.0,81,10,1006,5,rome
2016-01-07,9,11,3,Sunny,0.0,67,10,1007,6,rome
2016-01-07,12,13,6,Cloudy,0.0,59,10,1007,28,rome
2016-01-07,15,12,10,Cloudy,0.0,69,10,1006,53,rome
2016-01-07,21,12,7,Rain,0.2,78,9,1007,34,rome
2016-01-08,0,12,10,Cloudy,0.0,85,10,1007,39,rome
2016-01-08,3,12,5,Clear,0.0,87,10,1008,10,rome
2016-01-08,6,11,17,Sunny,0.0,86,10,1010,21,rome
2016-01-08,9,14,15,Cloudy,0.0,76,10,1010,49,rome
2016-01-08,15,15,17,Cloudy,0.1,88,10,1010,50,rome
2016-01-08,18,13,15,Cloudy,0.0,92,10,1011,51,rome
2016-01-08,21,14,19,Cloudy,0.0,89,10,1011,41,rome
2016-01-09,0,13,22,Clear,0.0,91,10,1011,14,rome
2016-01-09,3,13,18,Cloudy,0.0,93,10,1010,33,rome
2016-01-09,6,13,21,Cloudy,0.0,93,10,1010,29,rome
2016-01-09,9,15,24,Cloudy,0.0,84,10,1010,40,rome
2016-01-09,12,17,29,Sunny,0.1,78,10,1010,25,rome
2016-01-09,15,16,25,Cloudy,0.0,81,10,1008,69,rome
2016-01-09,18,14,23,Cloudy,0.0,91,10,1008,29,rome
2016-01-09,21,13,20,Cloudy,0.0,90,10,1008,55,rome
2016-01-10,0,14,21,Rain,0.2,90,10,1007,87,rome
2016-01-10,3,13,14,Rain,1.6,90,9,1007,30,rome
2016-01-10,6,13,7,Rain,4.2,90,7,1007,36,rome
2016-01-10,9,16,15,Sunny,0.0,82,10,1008,23,rome
2016-01-10,12,17,21,Sunny,0.1,73,10,1008,7,rome
2016-01-10,15,16,16,Sunny,0.0,76,10,1009,3,rome
2016-01-10,18,14,10,Clear,0.0,87,10,1010,10,rome
2016-01-10,21,13,12,Clear,0.0,88,10,1011,10,rome
2016-01-11,0,13,13,Clear,0.0,87,10,1010,17,rome
2016-01-11,3,13,19,Clear,0.0,87,10,1009,19,rome
2016-01-11,6,13,16,Cloudy,0.0,87,10,1009,28,rome
2016-01-11,9,16,30,Sunny,0.0,79,10,1008,8,rome
2016-01-11,12,17,32,Sunny,0.0,70,10,1006,8,rome
2016-01-11,15,16,35,Cloudy,0.0,76,10,1005,27,rome
2016-01-11,18,16,29,Rain,0.4,78,10,1005,69,rome
2016-01-11,21,15,25,Rain,0.2,78,10,1006,44,rome
