date,time,tempC,windspeedKmph,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,city
2016-01-01,9,4,2,Sunny,0.0,82,10,1026,14,turin
2016-01-01,12,3,4,Sunny,0.1,76,10,1024,12,turin
2016-01-01,15,2,4,Sunny,0.0,85,10,1024,15,turin
2016-01-02,12,1,6,Rain,1.1,81,9,1016,82,turin
2016-01-02,18,-1,2,Rain,1.0,96,9,1014,92,turin
2016-01-03,0,-1,3,Rain,0.8,95,9,1013,58,turin
2016-01-03,3,0,1,Clear,0.0,88,10,1012,7,turin
2016-01-03,6,2,2,Sunny,0.0,88,10,1012,3,turin
2016-01-03,9,4,0,Cloudy,0.0,73,10,1011,33,turin
2016-01-03,12,4,8,Sunny,0.0,69,10,1009,6,turin
2016-01-03,15,1,9,Cloudy,0.0,88,10,1007,52,turin
2016-01-04,0,-1,5,Snow,2.6,95,2,1004,100,turin
2016-01-04,3,-1,4,Snow,1.3,94,6,1001,55,turin
2016-01-04,6,0,6,Cloudy,0.0,81,10,1020,35,turin
2016-01-04,9,2,6,Rain,0.3,76,9,1019,87,turin
2016-01-04,12,5,6,Cloudy,0.0,71,9,1019,36,turin
2016-01-04,15,3,6,Rain,0.3,75,9,1018,80,turin
2016-01-04,18,1,6,Cloudy,0.0,79,8,1019,31,turin
2016-01-04,21,0,7,Rain,0.0,77,9,1019,81,turin
2016-01-05,0,0,7,Rain,0.0,80,9,1015,69,turin
2016-01-05,3,-1,6,Rain,0.0,84,10,1010,50,turin
2016-01-05,6,-2,4,Sunny,0.0,93,10,999,10,turin
2016-01-05,9,1,6,Sunny,0.1,82,10,1000,10,turin
2016-01-05,12,0,5,Sunny,0.1,81,10,1000,17,turin
2016-01-05,15,-1,5,Cloudy,0.0,89,10,1000,34,turin
2016-01-05,18,-2,3,Clear,0.0,93,10,1002,20,turin
2016-01-05,21,-3,2,Cloudy,0.1,93,10,1002,33,turin
2016-01-06,0,-2,1,Cloudy,0.1,92,10,1002,82,turin
2016-01-06,3,-2,1,Clear,0.0,93,10,1002,24,turin
2016-01-06,6,0,2,Sunny,0.0,90,10,1003,10,turin
2016-01-06,9,4,0,Sunny,0.0,73,10,1002,4,turin
